Countries or Regions,Currency Code,Price,May Adjust Automatically
Mongolia,USD,19.99,Y
Montenegro,EUR,19.99,Y
Montserrat,USD,19.99,Y
Morocco,USD,19.99,Y
Mozambique,USD,19.99,Y
Myanmar,USD,19.99,Y
Namibia,USD,19.99,Y
Nauru,USD,19.99,Y
Nepal,USD,22.99,Y
Netherlands,EUR,22.99,Y
New Zealand,NZD,39.99,Y
Nicaragua,USD,19.99,Y
Niger,USD,19.99,Y
Nigeria,NGN,29900.0,Y
North Macedonia,USD,19.99,Y
Norway,NOK,249.0,Y
Oman,USD,19.99,Y
Pakistan,PKR,4900.0,Y
Palau,USD,19.99,Y
Panama,USD,19.99,Y
Papua New Guinea,USD,19.99,Y
Paraguay,USD,19.99,Y
Peru,PEN,89.9,Y
Philippines,PHP,1290.0,Y
Poland,PLN,99.99,Y
Portugal,EUR,22.99,Y
Qatar,QAR,99.99,N
Romania,RON,99.99,Y
Russia,RUB,1790.0,Y
Rwanda,USD,19.99,Y
São Tomé and Príncipe,USD,19.99,Y
Saudi Arabia,SAR,99.99,N
Senegal,USD,22.99,Y
Serbia,EUR,22.99,Y
Seychelles,USD,19.99,Y
Sierra Leone,USD,19.99,Y
Singapore,SGD,29.98,Y
Slovakia,EUR,22.99,Y
Slovenia,EUR,22.99,Y
Solomon Islands,USD,19.99,Y
South Africa,ZAR,399.99,Y
Spain,EUR,22.99,Y
Sri Lanka,USD,19.99,Y
St. Kitts and Nevis,USD,19.99,Y
St. Lucia,USD,19.99,Y
St. Vincent and the Grenadines,USD,19.99,Y
Suriname,USD,19.99,Y
Sweden,SEK,249.0,Y
Switzerland,CHF,20.0,N
Taiwan,TWD,690,Y
Tajikistan,USD,19.99,Y
Tanzania,TZS,59900.0,Y
Thailand,THB,699.0,Y
Tonga,USD,19.99,Y
Trinidad and Tobago,USD,19.99,Y
Tunisia,USD,19.99,Y
Turkmenistan,USD,14.99,N
Turks and Caicos Islands,USD,19.99,Y
Uganda,USD,22.99,Y
Ukraine,USD,22.99,Y
United Arab Emirates,AED,99.99,N
United Kingdom,GBP,19.99,Y
United States,USD,24.99,N
Uruguay,USD,19.99,Y
Uzbekistan,USD,19.99,Y
Vanuatu,USD,19.99,Y
Venezuela,USD,19.99,Y
Vietnam,VND,599000,Y
Yemen,USD,19.99,Y
Zambia,USD,22.99,Y
Zimbabwe,USD,22.99,Y
